COD_LOCAL;CodMaterial;DESCRIPCION;Instock;CodInterno
U10;10535;ADO CAN 24X170;1;51221
U10;10534;ADO CAN 24X100;1;51222
U10;138751; 3/4 CREM 48X60;0;56301
U10;9693;ANT 1/2   48X60;1;56311
U10;8115;ANT LIGHT 48X42;1;56312
U10;60385;STELERA   48X76;1;56321
U10;10525;24X170 GRS.;1;50061
U10;10503;24X100 GRS;0;50062
U10;192563;48X50 GRS.;1;50063
U10;10529;DESC. 24X170 GRS.;1;50081
U10;10530;DESC. 24X100 GRS.;0;50082
U10;210094;DESC. 48X50 GRS.;1;50083
U10;879200;Y HILL 4(20X35) NARA;1;59311
U10;879201;Y HILL 4(20X35) DURA;1;59312
U10;879202;Y HILL 4(20X35) PIÑA;1;59313
U10;879203;Y HILL 4(20X35) FRUT;1;59314
U10;879204;Y HILL 4(20X35) MANZ;1;59316
U10;193366;O 8X320 ORIGINAL;1;53401
U10;193367;O 8X320 QUESO;0;53402
U10;193368;O 8X320 CR.CEBOLLA;1;53403
U10;193369;O PIZZA 8x320;1;53404
U10;193370;O 8X320 JAMON;1;53405
U10;848746;O AIR CRUNCH 14X140 ;1;53451
U10;848747;O AIR CRUNCH 14X140 ;1;53452
U10;184582;O 24X80 ORIGINAL;1;53536
U10;184590;O 24X80 QUESO;1;53537
U10;184575;O 24X80 CEBOLLA;1;53538
U10;184586;O 24X80 PIZZA O KETC;1;53539
U10;184578;O 24X80 JAMON;1;53540
U10;899946;O 8X6X40 ORIGINAL   ;1;53556
U10;899947;O 8X6X40 QUESO   dia;0;53557
U10;685550;AC 4(25X7) LIMONADA ;1;58632
U10;685551;AC 4(25X7) LIMONADA ;0;58633
U10;685552;AC 4(25X7) LIMONADA ;1;58634
U10;795025;AC 4(25X7) HUESILLO;1;58660
U10;401724001;N 4(25X8) NARANJA;1;58661
U10;401724010;N 4(25X7) DURAZNO;1;58664
U10;401724011;N 4(25X7) PIÑA;1;58665
U10;401724014;N 4(25X7) FRUTILLA;1;58668
U10;401724015;N 4(25X7) PERA AGUA;0;58669
U10;401724007;N 4(25X7) BERRIES;0;58673
U10;401724006;N 4(25X7) MELON TUNA;0;58674
U10;685553;AC 4(25X7) TE NEGRO ;1;58680
U10;690643;AC 4(25X7) TE DURAZN;1;58681
U10;795031; MANZ/UVA BCA 10x10;1;58746
U10;795033;ECER NAR/FRUTIL 10x1;1;58748
U10;402622001;N NECT TET 4X6X200 N;1;54431
U10;402622002;N NECT TET 4X6X200 D;1;54432
U10;402622003;N NECT TET 4X6X200 M;1;54433
U10;646726;N NECT TET 4X6X200 P;1;54434
U10;401707001;N NECT PET 6X1500 NA;1;54461
U10;401707005;N NECT PET 6X1500 DU;1;54462
U10;401707004;N NECT PET 6X1500 MA;1;54463
U10;401707003;N NECT PET 6X1500 UV;1;54464
U10;401707002;N NECT PET 6X1500 AR;1;54465
U10;10528;RREY 24X170 GRS.;1;50041
U10;10527;RREY 24X100 GRS.;1;50042
U10;10526;RREY 48X50 GRS.;1;50043
U10;681943;CLA 24X100 DOYPACK;1;50117
U10;872417;MONTERREY C/LECHE 24;1;50340
U10;401713001;ET 10X1000 NARANJA;1;54381
U10;401713002;ET 10X1000 PIÑA;1;54382
U10;401713003;ET 10X1000 DURAZNO;1;54383
U10;401713005;ET 10X1000 MANZANA;1;54385
U10;401713007;ET 10X1000 MULTIFRUT;1;54387
U10;402619001;A 6X1500 NARANJA;1;54521
U10;402619004;A 6X1500 MULTIFRUTA;1;54527
U10;402625007;ARANJA  4X6X200;1;57521
U10;402625001;IÑA     4X6X200;1;57522
U10;402625006;URAZNO  4X6X200;1;57523
U10;402625005;AMASCO  4X6X200;1;57524
U10;402625004;ANZANA  4X6X200;1;57525
U10;127960;ULTIFRU 4X6X200;1;57527
U10;402625002;RUTILLA 4X6X200;1;57528
U10;706576;LIVEAN 20X20 CHOCOLA;1;56251
U10;706579;LIVEAN 20X20 BERRIES;1;56254
U10;185021;IVEAN 20X22 NARANJA;1;56711
U10;185022;IVEAN 20X22 PIÑA;1;56712
U10;185017;IVEAN 20X22 DURAZNO;1;56713
U10;184702;IVEAN 20X22 BERRIES;1;56715
U10;185020;IVEAN 20X22 MANZANA ;1;56716
U10;7297;F 24X300;1;53014
U10;31926;F 14X500;1;53018
U10;7117; RAFF BOLSA  12X900;1;53021
U10;401720002;VAIN BSA 24X400;1;53046
U10;401720003;FRUT BSA 24X400;1;53047
U10;401720001;CHOC BSA 24X400;1;53048
U10;144324;VAINILLA 24X200;1;53061
U10;144323;FRUTILLA 24X200;1;53062
U10;144322;CHOCOLAT 24X200;1;53063
U10;10659;JAS CANISTER 48X36 G;1;52112
U10;213171; DOYPACK 24X100;1;50532
U10;10539; CAN 24X170;1;50541
U10;10540; CAN 24X100;1;50542
U10;210083; CAN 48X50;1;50543
U10;401726003;24X200 NARANJA;1;55363
U10;795022;KO LIGHT 4 BLUE 4X 2;0;57425
U10;900816;NAC 6(28X35) NARANJA;1;57901
U10;900817;NAC 6(28X35) DURAZNO;1;57902
U10;900818;NAC 6(28X35) PIÑA;1;57903
U10;900819;NAC 6(28X35) MANZANA;0;57904
U10;900820;NAC 6(28X35) FRUTILL;1;57905
U10;900821;NAC 6(28X35) FRAMBUE;1;57906
U10;900822;NAC 6(28X35) DAMASCO;1;57907
U10;900823;NAC 6(28X35) PAPAYA;1;57908
U10;900824;NAC 6(28X35) MANGO;1;57909
U10;900825;NAC 6(28X35) NARANJA;1;57910
U10;900827;NAC 6(28X35) HUESILL;1;57912
U10;900828;NAC 6(28X35) KIWI;0;57913
